field_domain_id,field_site_id,field_site_name,field_site_type,field_site_subtype,field_colocated_site,field_site_host,field_site_url,field_nonneon_research_allowed,field_latitude,field_longitude,field_geodetic_datum,field_utm_northing,field_utm_easting,field_utm_zone,field_site_county,field_site_state,field_site_country,field_mean_evelation_m,field_minimum_elevation_m,field_maximum_elevation_m,field_mean_annual_temperature_C,field_mean_annual_precipitation_mm,field_dominant_wind_direction,field_mean_canopy_height_m,field_dominant_nlcd_classes,field_dominant_plant_species,field_usgs_huc,field_watership_name,field_watership_size_km2,field_lake_depth_mean_m,field_lake_depth_max_m,field_tower_height_m,field_megapit_soil_family,field_soil_subgroup,field_avg_number_of_green_days,field_avg_green_increase_doy,field_avg_green_max_doy,field_avg_green_decrease_doy,field_avg_green_min_doy,field_phenocams,field_number_tower_levels
D16,ABBY,"Abby Road NEON","Gradient Terrestrial",,,"Washington Department of Natural Resources",https://www.dnr.wa.gov/,No,45.762439,-122.330317,WGS84,5067870.43,552075.5426,10N,Clark,WA,US,365,,708,10.0°C,2451,,34.0,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",,,,,,,19,"Fine-lomay - isotic - mesic - Andic Humudepts","Andic Humudepts",190,110,165,205,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D16.ABBY.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D16.ABBY.DP1.00042/",5
D10,ARIK,"Arikaree River NEON","Core Aquatic","Wadeable Stream",,"The Nature Conservancy|Fox Ranch",https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/fox-ranch/|https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/fox-ranch/,Yes,39.758206,-102.44715,WGS84,4404042.55,718694.3752,13N,Yuma,CO,US,1179,,,10.4°C,452,,,"Emergent Herbaceous Wetlands|Grassland/Herbaceous|Woody Wetlands",,[h10250001](https://water.usgs.gov/lookup/getwatershed?10250001),"Lower Sappa",2631.8,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D10.ARIK.DP1.20002/",
D03,BARC,"Lake Barco NEON","Core Aquatic",Lake,OSBS,"University of Florida Foundation",https://ordway-swisher.ufl.edu/ResearchUse.aspx,Yes,29.675982,-82.008414,WGS84,3283362.55,402358.9734,17N,Putnam,FL,US,27,,,20.9°C,1308,,,Shrub/Scrub,,[h03080103](https://water.usgs.gov/lookup/getwatershed?03080103),"Lower St. Johns",31.3,3.3,6.7,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D03.BARC.DP1.20002/",
D18,BARR,"Utqiaġvik NEON","Gradient Terrestrial",,,"Ukpeagvik Inupiat Corporation",http://www.north-slope.org/departments/planning-community-services/applications-and-forms,Yes,71.28241,-156.61936,WGS84,7910571.99,585246.1299,4N,"North Slope",AK,US,4,0,13,-12.0°C,105,E,0.3,"Emergent Herbaceous Wetlands",,,,,,,9,"Fine-silty - mixed - superactive - nonacid - pergelic Typic Histoturbels","Typic Histoturbels",45,175,195,210,220,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D18.BARR.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D18.BARR.DP1.00042/",4
D01,BART,"Bartlett Experimental Forest NEON","Gradient Terrestrial",,,"White Mountain National Forest, U.S. Forest Service (Northern Research Station)",https://www.nrs.fs.fed.us/ef/locations/nh/bartlett/,Yes,44.063889,-71.287375,WGS84,4881511.55,316812.1595,19N,Carroll,NH,US,274,230,655,6.2°C,1325,S,23.0,"Deciduous Forest|Evergreen Forest|Mixed Forest",,,,,,,35,"Coarse-loamy - isotic - frigid Aquic Haplorthods","Aquic Haplorthods",180,120,170,220,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D01.BART.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D01.BART.DP1.00042/",6
D17,BIGC,"Upper Big Creek NEON","Gradient Aquatic","Wadeable Stream",SOAP,"US Forest Service",https://www.fs.usda.gov/sierra/,Yes,37.059719,-119.257549,WGS84,4103686.50,299408.5848,11N,Fresno,CA,US,1197,,,13.4°C,900,,,"Evergreen Forest",,[h18030010](https://water.usgs.gov/lookup/getwatershed?18030010),"Upper King",10.9,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D17.BIGC.DP1.20002/",
D02,BLAN,"Blandy Experimental Farm NEON","Gradient Terrestrial",,LEWI,"University of Virginia|Casey Tree Farm",http://blandy.virginia.edu/research|https://caseytrees.org/about-us/casey-tree-farm/,"Yes (Tower and TIS)|Very Limited",39.033698,-78.041788,WGS84,4327545.88,753379.5421,17N,Clarke,VA,US,183,119,193,12.1°C,983,NW,1.0,"Deciduous Forest|Pasture/Hay",,,,,,,8,"Fine - mixed - subactive - mesic Ultic Hapludalfs","Ultic Hapludalfs",235,75,150,210,310,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D02.BLAN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D02.BLAN.DP1.00042/",4
D12,BLDE,"Blacktail Deer Creek NEON","Core Aquatic","Wadeable Stream",YELL,"National Park Service",https://irma.nps.gov/rprs/,Limited,44.95011,-110.58715,WGS84,4977491.17,532567.1216,12N,Park,WY,US,2053,,,3.6°C,481,,,"Emergent Herbaceous Wetlands|Shrub/Scrub",,[h10070001](https://water.usgs.gov/lookup/getwatershed?10070001),"Yellowstone Headwaters",37.8,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D12.BLDE.DP1.20002/",
D11,BLUE,"Blue River NEON","Gradient Aquatic","Non-wadeable River",,"The Nature Conservancy",https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/okayanahli-preserve/,Yes,34.444218,-96.624201,WGS84,3813972.21,718273.9768,14N,Johnston,OK,US,289,,,16.4°C,1041,,,Grassland/Herbaceous|Pasture/Hay,,[h11140102](https://water.usgs.gov/lookup/getwatershed?11140102),Blue,322.2,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D11.BLUE.DP1.20002/",
D08,BLWA,"Black Warrior River NEON","Gradient Aquatic","Non-wadeable River",DELA,"US Army Corps of Engineers|Private",https://www.usace.army.mil/,"Limited|Very Limited",32.541529,-87.798151,WGS84,3600743.44,425055.8239,16N,Greene,AL,US,22,,,17.6°C,1372,,,"Woody Wetlands",,[h03160113](https://water.usgs.gov/lookup/getwatershed?03160113),"Lower Black Warrior",16159.4,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D08.BLWA.DP1.20002/",
D19,BONA,"Caribou-Poker Creeks Research Watershed NEON","Core Terrestrial",,CARI,"University of Alaska|Alaska Department of Natural Resources",https://www.uaf.edu/uaf/|http://dnr.alaska.gov/,Yes,65.15401,-147.50258,WGS84,7225712.65,476436.7395,6N,"Fairbanks North Star",AK,US,230,212,728,-3.0°C,262,W,8.0,"Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands",,,,,,,19,"Coarse-silty - mixed - superactive - subgelic Typic Histoturbels","Typic Histoturbels",115,135,180,210,250,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.BONA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.BONA.DP1.00042/",5
D19,CARI,"Caribou Creek NEON","Core Aquatic","Wadeable Stream",BONA,"Alaska Department of Natural Resources|University of Alaska",http://dnr.alaska.gov/|https://www.uaf.edu/uaf/,Yes,65.153224,-147.50397,WGS84,7225606.73,476441.5230,6N,"Fairbanks North Star",AK,US,225,,,-3.0°C,262,,,"Woody Wetlands",,[h19040509](https://water.usgs.gov/lookup/getwatershed?19040509),"Tolovana River",31.0,,,,"Coarse-silty, mixed, superactive, subgelic.Typic Histoturbels.","Typic Histoturbels",115,135,180,210,250,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D19.CARI.DP1.20002/",
D11,CLBJ,"Lyndon B. Johnson National Grassland NEON","Core Terrestrial",,PRIN,"US Forest Service",https://www.fs.usda.gov/detail/texas/about-forest/districts/?cid=fswdev3_008440,"Very Limited",33.40123,-97.57,WGS84,3696682.44,632982.2183,14N,Wise,TX,US,272,258,343,17.5°C,926,S,13.0,"Deciduous Forest|Grassland/Herbaceous",,,,,,,22,"Fine - mixed - active - thermic Udic Paleustalfs","Udic Paleustalfs",260,60,135,175,295|320,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D11.CLBJ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D11.CLBJ.DP1.00042/",5
D13,COMO,"Como Creek NEON","Core Aquatic","Wadeable Stream",NIWO,"US Forest Service",https://cuboulder.qualtrics.com/jfe/form/SV_3O9QymZrswv5U6F,Yes,40.034962,-105.544164,WGS84,4431779.63,453513.6657,13N,Boulder,CO,US,3021,,,2.0°C,841,,,Shrub/Scrub,,[h10190005](https://water.usgs.gov/lookup/getwatershed?10190005),"St. Vrain",3.6,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D13.COMO.DP1.20002/",
D10,CPER,"Central Plains Experimental Range NEON","Core Terrestrial",,,"USDA-Agricultural Research Service",https://www.ars.usda.gov/plains-area/fort-collins-co/center-for-agricultural-resources-research/rangeland-resources-systems-research/docs/rrsr/central-plains-experimental-research-location/,Yes,40.815536,-104.74559,WGS84,4518311.06,521454.7706,13N,Weld,CO,US,1654,1601,1686,8.6°C,344,NW,0.4,Grassland/Herbaceous,,,,,,,9,"Fine-loamy - mixed - superactive - mesic Aridic Argiustolls","Aridic Argiustolls",260,90,165,210,350,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.CPER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.CPER.DP1.00042/",4
D05,CRAM,"Crampton Lake NEON","Core Aquatic",Lake,,"University of Notre Dame",https://underc.nd.edu/underc-west/research-opportunities/,Yes,46.209675,-89.473688,WGS84,5120489.55,308836.9410,16N,Vilas,WI,US,509,,,4.3°C,794,,,"Woody Wetlands",,[h04020102](https://water.usgs.gov/lookup/getwatershed?04020102),Ontonagon,0.6,4.6,19.0,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D05.CRAM.DP1.20002/",
D04,CUPE,"Río Cupeyes NEON","Core Aquatic","Wadeable Stream",,"Commonwealth of Puerto Rico|Private (access)",,Limited|Limited,18.11352,-66.98676,WGS84,2003908.95,713025.6777,19N,"San German Municipio",PR,US,157,,,,,,,"Evergreen Forest",,[h21010003](https://water.usgs.gov/lookup/getwatershed?21010003),Culebrinas-Guanajibo,4.3,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D04.CUPE.DP1.20002/",
D09,DCFS,"Dakota Coteau Field Site NEON","Gradient Terrestrial",,PRLA,"North Dakota Land Trust",https://www.land.nd.gov/,Yes,47.16165,-99.10656,WGS84,5223133.12,491923.4840,14N,Stutsman,ND,US,575,494,592,4.9°C,490,NW,0.4,Grassland/Herbaceous,,,,,,,8,"Fine-loamy - mixed - superactive - frigid Typic Haplustolls","Typic Haplustolls",170,120,180,205,290,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.DCFS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.DCFS.DP1.00042/",4
D19,DEJU,"Delta Junction NEON","Gradient Terrestrial",,,"Bureau of Land Management",https://www.blm.gov/office/eastern-interior-field-office,Yes,63.88112,-145.75136,WGS84,7084367.22,561330.0608,6N,"Southeast Fairbanks",AK,US,517,444,581,-3.0°C,305,E,10.0,"Evergreen Forest|Shrub/Scrub|Woody Wetlands",,,,,,,22,"Coarse-loamy - mixed - superactive Typic Haplocryepts","Typic Haplocryepts",120,130,170,210,250,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.DEJU.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.DEJU.DP1.00042/",5
D08,DELA,"Dead Lake NEON","Gradient Terrestrial",,BLWA,"US Army Corps of Engineers",https://www.sam.usace.army.mil/,Limited,32.541727,-87.803877,WGS84,3600769.46,424518.2990,16N,Greene,AL,US,25,21,41,17.6°C,1372,SW,30.0,"Evergreen Forest|Woody Wetlands",,,,,,,42,"Fine - mixed - semiactive - thermic Aquic Paleudults","Aquic Paleudults",270,60,135,205,330,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.DELA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.DELA.DP1.00042/",6
D03,DSNY,"Disney Wilderness Preserve NEON","Gradient Terrestrial",,,"The Nature Conservancy",https://www.nature.org/en-us/get-involved/how-to-help/places-we-protect/the-disney-wilderness-preserve/,Yes,28.12505,-81.43619,WGS84,3111130.69,457161.0924,17N,Osceola,FL,US,20,15,22,22.5°C,1216,E,1.5,"Pasture/Hay|Woody Wetlands",,,,,,,8,"Sandy - siliceous - hyperthermic Aeric Alaquods","Aeric Alaquods",260,60,140,190,320,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.DSNY.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.DSNY.DP1.00042/",4
D03,FLNT,"Flint River NEON","Gradient Aquatic","Non-wadeable River",JERC,"Robert Woodruff Foundation, Inc.|The Jones Center at Ichauway",http://www.jonesctr.org/research/|https://www.jonesctr.org/,Yes,31.185424,-84.437403,WGS84,3452980.85,744204.4003,16N,Baker,GA,US,30,,,19.2°C,1311,,,"Mixed Forest",,[h03130008](https://water.usgs.gov/lookup/getwatershed?03130008),"Lower Flint",14999.4,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D03.FLNT.DP1.20002/",
D07,GRSM,"Great Smoky Mountains National Park NEON","Gradient Terrestrial",,LECO,"National Park Service",https://irma.nps.gov/rprs/,Yes,35.68896,-83.50195,WGS84,3952335.29,273599.8765,17N,Sevier,TN,US,575,426,1978,13.1°C,1375,NW,30.0,"Deciduous Forest|Evergreen Forest",,,,,,,45,"Loamy-skeletal - isotic - mesic Typic Humudepts","Typic Humudepts",220,90,155,215,310,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D07.GRSM.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D07.GRSM.DP1.00042/",6
D04,GUAN,"Guanica Forest NEON","Core Terrestrial",,,"State Forest, Dept. of Natural and Environmental Resources, Commonwealth of Puerto Rico",,Limited,17.96955,-66.8687,WGS84,1988112.21,725706.1285,19N,"Guanica Municipio",PR,US,125,8,209,23.0°C,840,S,10.0,"Evergreen Forest",,,,,,,23,"Coarse-loamy - carbonatic - isohyperthermic Typic Haplocalcids","Typic Haplocalcids",365,,,,,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D04.GUAN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D04.GUAN.DP1.00042/",5
D04,GUIL,"Río Yahuecas NEON","Gradient Aquatic","Wadeable Stream",,"University of Puerto Rico",,Yes,18.17406,-66.79868,WGS84,2010843.81,732872.1887,19N,"Adjuntas Municipio",PR,US,551,,,,,,,"Evergreen Forest|Grassland/Herbaceous",,[h21010003](https://water.usgs.gov/lookup/getwatershed?21010003),Culebrinas-Guanajibo,9.6,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D04.GUIL.DP1.20002/",
D01,HARV,"Harvard Forest & Quabbin Watershed NEON","Core Terrestrial",,HOPB,"Massachusetts DCR Division of Water Supply Protection|Harvard University",https://www.mass.gov/service-details/watershed-permits|https://harvardforest.fas.harvard.edu/conducting-research,Limited|Yes,42.53691,-72.17265,WGS84,4713265.04,732183.1938,18N,Worcester,MA,US,348,160,415,7.4°C,1199,NW,26.0,"Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands",,,,,,,39,"Coarse-loamy over sandy or sandy-skeletal - mixed - semiactive - frigid Oxyaquic Dystrudepts","Oxyaquic Dystrudepts",210,110,160,220,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D01.HARV.DP1.00042/",6
D19,HEAL,"Healy NEON","Gradient Terrestrial",,,"Alaska Department of Natural Resources",http://dnr.alaska.gov/,Yes,63.875798,-149.21335,WGS84,7085047.87,391276.5986,6N,Denali,AK,US,677,588,717,-1.3°C,385,NW,0.3,"Dwarf Scrub|Evergreen Forest|Shrub/Scrub",,,,,,,9,"Coarse-silty - mixed - superactive - subgelic Typic Histoturbels","Typic Histoturbels",110,135,180,210,245,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D19.HEAL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D19.HEAL.DP1.00042/",4
D01,HOPB,"Lower Hop Brook NEON","Core Aquatic","Wadeable Stream",HARV,"Massachusetts DCR Division of Water Supply Protection",https://www.mass.gov/service-details/watershed-permits,Limited,42.471941,-72.329526,WGS84,4705615.73,719519.9768,18N,Franklin,MA,US,203,,,7.9°C,1368,,,"Evergreen Forest|Mixed Forest",,[h01080204](https://water.usgs.gov/lookup/getwatershed?01080204),Chicopee,11.9,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D01.HOPB.DP1.20002/",
D03,JERC,"The Jones Center At Ichauway NEON","Gradient Terrestrial",,FLNT,"Robert Woodruff Foundation, Inc.|The Jones Center at Ichauway",http://www.jonesctr.org/research/|https://www.jonesctr.org/,Yes,31.194839,-84.468623,WGS84,3453956.37,741205.7224,16N,Baker,GA,US,47,29,55,19.2°C,1308,NE,27.0,"Cultivated Crops|Deciduous Forest|Evergreen Forest|Mixed Forest",,,,,,,42,"Loamy - kaolinitic - thermic Arenic Kandiudults","Arenic Kandiudults",220,90,175,220,310,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D03.JERC.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D03.JERC.DP1.00042/",6
D14,JORN,"Jornada Experimental Range NEON","Gradient Terrestrial",,,"USDA-Agricultural Research Service",https://jornada.nmsu.edu/,Yes,32.590694,-106.84254,WGS84,3607409.16,327074.6200,13N,"Doña Ana",NM,US,1324,1316,1333,15.7°C,271,SW,0.4,Shrub/Scrub,,,,,,,8,"Coarse-loamy - mixed - superactive - thermic Typic Petrocalcids","Typic Petrocalcids",260,80,185,245,340,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D14.JORN.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D14.JORN.DP1.00042/",4
D06,KING,"Kings Creek NEON","Core Aquatic","Wadeable Stream",KONA,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,39.105061,-96.603829,WGS84,4331170.42,707234.5703,14N,Riley,KS,US,324,,,12.7°C,860,,,"Deciduous Forest",,[h10270101](https://water.usgs.gov/lookup/getwatershed?10270101),"Upper Kansas",13.0,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KING.DP1.20002/",
D06,KONA,"Konza Prairie Agroecosystem NEON","Gradient Terrestrial",,KING,"Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,39.110446,-96.612935,WGS84,4331745.28,706389.4538,14N,Riley,KS,US,323,312,359,12.7°C,850,SSW,,"Cultivated Crops",,,,,,,8,"Fine - smectitic - mesic Pachic Vertic Argiudolls","Pachic Vertic Argiudolls",210,90,160,210,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONA.DP1.00042/",4
D06,KONZ,"Konza Prairie Biological Station NEON","Core Terrestrial",,,"The Nature Conservancy, Kansas State University",https://kpbs.konza.k-state.edu/scientist-information/permits.html,Yes,39.100774,-96.563075,WGS84,4330786.53,710729.7980,14N,Riley,KS,US,414,333,443,12.4°C,870,SSW,1.5,"Deciduous Forest|Grassland/Herbaceous",,,,,,,8,"Fine - smectitic - mesic Pachic Udertic Argiustolls","Pachic Udertic Argiustolls",210,90,160,210,300,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.KONZ.DP1.00042/",4
D04,LAJA,"Lajas Experimental Station NEON","Gradient Terrestrial",,,"University of Puerto Rico",,Limited,18.021261,-67.076889,WGS84,1993593.87,703591.1281,19N,"Lajas Municipio",PR,US,16,13,41,25.0°C,830,SSE,0.4,"Cultivated Crops|Grassland/Herbaceous|Pasture/Hay",,,,,,,8,"Fine - mixed - superactive - isohyperthermic Sodic Haplusterts","Sodic Haplusterts",365,,,,,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D04.LAJA.DP1.00042/",4
D07,LECO,"LeConte Creek NEON","Gradient Aquatic","Wadeable Stream",GRSM,"National Park Service",https://irma.nps.gov/rprs/,Yes,35.690428,-83.50379,WGS84,3952502.40,273437.4965,17N,Sevier,TN,US,579,,,13.1°C,1375,,,"Deciduous Forest",,[h06010107](https://water.usgs.gov/lookup/getwatershed?06010107),"Lower French Broad",9.1,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D07.LECO.DP1.20002/",
D08,LENO,"Lenoir Landing NEON","Gradient Terrestrial",,TOMB,"US Fish and Wildlife Service|US Army Corps of Engineers",https://www.fws.gov/refuge/choctaw/|https://www.sam.usace.army.mil/,Yes|Limited,31.853861,-88.161181,WGS84,3524827.17,390139.6172,16N,Choctaw,AL,US,13,,,18.1°C,1386,N,35.0,"Deciduous Forest|Woody Wetlands",,,,,,,47,"Fine - mixed - active - acid - thermic Vertic Epiaquepts","Vertic Epiaquepts",265,70,145,200,335,"One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.LENO.DP1.00042/",6
D02,LEWI,"Lewis Run NEON","Gradient Aquatic","Wadeable Stream",BLAN,"Casey Tree Farm",https://caseytrees.org/about-us/casey-tree-farm/,Limited,39.095637,-77.983216,WGS84,4331627.28,242002.1375,18N,Clarke,VA,US,152,,,12.2°C,976,,,"Deciduous Forest",,[h02070007](https://water.usgs.gov/lookup/getwatershed?02070007),Shenandoah,11.9,,,,,,,,,,BLAN,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D02.LEWI.DP1.20002/",
D05,LIRO,"Little Rock Lake NEON","Gradient Aquatic",Lake,,"Wisconsin Department of Natural Resources",https://dnr.wi.gov/Permits/,Yes,45.998269,-89.704767,WGS84,290559.72,5097412.4480,16N,Vilas,WI,US,502,,,4.4°C,796,,,"Deciduous Forest|Mixed Forest",,[h07050002](https://water.usgs.gov/lookup/getwatershed?07050002),Flambeau,0.9,2.7,10.8,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D05.LIRO.DP1.20002/",
D16,MART,"Martha Creek NEON","Core Aquatic","Wadeable Stream",,"US Forest Service",https://www.fs.usda.gov/recarea/giffordpinchot/recreation/recarea/?recid=31184,Yes,45.790835,-121.933788,WGS84,5071408.75,583011.2516,10N,Skamania,WA,US,337,,,9.6°C,2329,,,"Evergreen Forest",,[h17070105](https://water.usgs.gov/lookup/getwatershed?17070105),"Middle Columbia-Hood",6.3,,,,,,,,,,,"A phenocam is pointed toward the land-water interface of the site.
https://phenocam.nau.edu/webcam/sites/NEON.D16.MART.DP1.20002/",
