"","domainid","siteid","plotid_parent","tallydate","volumefactor_ingest","particle_count","lidsazimuth","logmaxdiameter","taxonid","decayclass","logid_ingest","logdistance","loglength","acceptedtaxonid","targettaxapresent","diameterClass","decayClassNum"
"1","D03","DSNY","DSNY_002","2017-03-22T00:00:00.000Z",NA,NA,140,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"2","D03","DSNY","DSNY_002","2017-03-22T00:00:00.000Z",NA,NA,260,7.8,"PIPA2","3 - Heartwood sound","L01",3.4,3.1,"PIPA2","Y","5-10cm","3"
"3","D03","DSNY","DSNY_002","2017-03-22T00:00:00.000Z",NA,NA,260,50,"PIPA2","3 - Heartwood sound","100",22.6,7.5,"PIPA2","Y",">=10cm","3"
"4","D03","DSNY","DSNY_005","2017-03-23T00:00:00.000Z",NA,NA,70,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"5","D03","DSNY","DSNY_005","2017-03-23T00:00:00.000Z",NA,NA,310,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"6","D03","DSNY","DSNY_008","2017-03-23T00:00:00.000Z",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"7","D03","DSNY","DSNY_009","2017-03-23T00:00:00.000Z",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"8","D03","DSNY","DSNY_011","2017-03-24T00:00:00.000Z",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"9","D03","DSNY","DSNY_011","2017-03-24T00:00:00.000Z",NA,NA,240,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"10","D03","DSNY","DSNY_014","2017-03-23T00:00:00.000Z",NA,NA,200,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"11","D03","DSNY","DSNY_014","2017-03-23T00:00:00.000Z",NA,NA,80,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"12","D03","DSNY","DSNY_017","2017-03-23T00:00:00.000Z",NA,NA,40,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"13","D03","DSNY","DSNY_017","2017-03-23T00:00:00.000Z",NA,NA,280,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"14","D03","DSNY","DSNY_034","2017-03-23T00:00:00.000Z",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"15","D03","DSNY","DSNY_034","2017-03-23T00:00:00.000Z",NA,NA,260,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"16","D03","DSNY","DSNY_007","2017-03-22T00:00:00.000Z",5,NA,260,NA,"QUERC","3 - Heartwood sound",NA,7.8,6,"QUERC","Y",NA,"3"
"17","D03","DSNY","DSNY_007","2017-03-22T00:00:00.000Z",NA,NA,140,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"18","D03","DSNY","DSNY_014","2017-03-23T00:00:00.000Z",5,NA,320,48,"PINUS","3 - Heartwood sound","107",156.1,13.5,"PINUS","Y",">=10cm","3"
"19","D03","DSNY","DSNY_009","2017-03-23T00:00:00.000Z",NA,NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"20","D03","DSNY","DSNY_009","2017-03-23T00:00:00.000Z",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"21","D03","DSNY","DSNY_034","2017-03-23T00:00:00.000Z",NA,NA,140,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"22","D03","DSNY","DSNY_017","2017-03-23T00:00:00.000Z",NA,NA,160,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"23","D03","DSNY","DSNY_005","2017-03-23T00:00:00.000Z",5,NA,190,4.3,"QUERC","2 - Sound round","L02",1.4,2.8,"QUERC","Y","2-5cm","2"
"24","D03","DSNY","DSNY_005","2017-03-23T00:00:00.000Z",5,NA,190,2.8,"QUERC","2 - Sound round","L01",0.6,2.5,"QUERC","Y","2-5cm","2"
"25","D03","DSNY","DSNY_008","2017-03-23T00:00:00.000Z",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"26","D03","DSNY","DSNY_008","2017-03-23T00:00:00.000Z",NA,NA,240,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"27","D03","DSNY","DSNY_008","2017-03-23T00:00:00.000Z",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"28","D03","DSNY","DSNY_011","2017-03-24T00:00:00.000Z",5,NA,120,7.3,"QUNI","2 - Sound round","L01",3.9,3.1,"QUNI","Y","5-10cm","2"
"29","D03","DSNY","DSNY_011","2017-03-24T00:00:00.000Z",5,NA,120,12.8,"QUNI","2 - Sound round","105",8,7.8,"QUNI","Y",">=10cm","2"
"30","D03","DSNY","DSNY_011","2017-03-24T00:00:00.000Z",5,NA,120,35.2,"NYSSA","4 - Rotten throughout","108",92,17,"NYSSA","Y",">=10cm","4"
"31","D03","DSNY","DSNY_011","2017-03-24T00:00:00.000Z",5,NA,120,50,"QUERC","5 - No structural integrity","110",160,11.4,"QUERC","Y",">=10cm","5"
"32","D03","DSNY","DSNY_011","2017-03-24T00:00:00.000Z",5,NA,120,46,"QUERC","4 - Rotten throughout","111",172,19.6,"QUERC","Y",">=10cm","4"
"33","D03","DSNY","DSNY_003","2017-03-29T00:00:00.000Z",NA,NA,110,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"34","D03","DSNY","DSNY_003","2017-03-29T00:00:00.000Z",NA,NA,230,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"35","D03","DSNY","DSNY_004","2017-03-29T00:00:00.000Z",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"36","D03","DSNY","DSNY_004","2017-03-29T00:00:00.000Z",NA,NA,120,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"37","D03","DSNY","DSNY_006","2017-03-28T00:00:00.000Z",NA,NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"38","D03","DSNY","DSNY_012","2017-03-29T00:00:00.000Z",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"39","D03","DSNY","DSNY_016","2017-03-28T00:00:00.000Z",NA,NA,150,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"40","D03","DSNY","DSNY_021","2017-03-28T00:00:00.000Z",NA,NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"41","D03","DSNY","DSNY_025","2017-03-29T00:00:00.000Z",NA,NA,210,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"42","D03","DSNY","DSNY_003","2017-03-29T00:00:00.000Z",NA,NA,350,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"43","D03","DSNY","DSNY_004","2017-03-29T00:00:00.000Z",NA,NA,240,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"44","D03","DSNY","DSNY_006","2017-03-28T00:00:00.000Z",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"45","D03","DSNY","DSNY_006","2017-03-28T00:00:00.000Z",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"46","D03","DSNY","DSNY_012","2017-03-29T00:00:00.000Z",NA,NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"47","D03","DSNY","DSNY_012","2017-03-29T00:00:00.000Z",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"48","D03","DSNY","DSNY_016","2017-03-28T00:00:00.000Z",NA,NA,30,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"49","D03","DSNY","DSNY_016","2017-03-28T00:00:00.000Z",NA,NA,270,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"50","D03","DSNY","DSNY_021","2017-03-28T00:00:00.000Z",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"51","D03","DSNY","DSNY_021","2017-03-28T00:00:00.000Z",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"52","D03","DSNY","DSNY_025","2017-03-29T00:00:00.000Z",NA,NA,90,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"53","D03","DSNY","DSNY_025","2017-03-29T00:00:00.000Z",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"54","D03","DSNY","DSNY_001","2017-04-11T00:00:00.000Z",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"55","D03","DSNY","DSNY_001","2017-04-11T00:00:00.000Z",NA,NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"56","D03","DSNY","DSNY_010","2017-04-11T00:00:00.000Z",NA,NA,140,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"57","D03","DSNY","DSNY_010","2017-04-11T00:00:00.000Z",5,NA,260,35.3,"PINUS","3 - Heartwood sound","121",35.3,10.4,"PINUS","Y",">=10cm","3"
"58","D03","DSNY","DSNY_010","2017-04-11T00:00:00.000Z",NA,NA,260,38.2,"PINUS","3 - Heartwood sound","122",106.1,11.9,"PINUS","Y",">=10cm","3"
"59","D03","DSNY","DSNY_013","2017-04-11T00:00:00.000Z",NA,NA,110,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"60","D03","DSNY","DSNY_015","2017-04-11T00:00:00.000Z",NA,NA,130,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"61","D03","DSNY","DSNY_015","2017-04-11T00:00:00.000Z",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"62","D03","DSNY","DSNY_001","2017-04-11T00:00:00.000Z",NA,NA,250,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"63","D03","DSNY","DSNY_015","2017-04-11T00:00:00.000Z",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"64","D03","DSNY","DSNY_013","2017-04-11T00:00:00.000Z",NA,NA,230,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA
"65","D03","DSNY","DSNY_013","2017-04-11T00:00:00.000Z",5,NA,350,17.9,"PIPA2","5 - No structural integrity","112",7,7.5,"PIPA2","Y",">=10cm","5"
"66","D03","DSNY","DSNY_010","2017-04-11T00:00:00.000Z",NA,NA,20,22,"PIPA2","3 - Heartwood sound","113",32,13.8,"PIPA2","Y",">=10cm","3"
"67","D03","DSNY","DSNY_010","2017-04-11T00:00:00.000Z",NA,NA,20,32.2,"PIPA2","3 - Heartwood sound","114",73.6,5.2,"PIPA2","Y",">=10cm","3"
