"siteID","plotID","subplotID","tagID","growthForm","stemStatus","stemDiameter","measurementHeight","height","maxCanopyDiameter","ninetyCanopyDiameter","canopyPosition","shrubShape","basalStemDiameter","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","eventID","nestedSubplotID","pointID","stemDistance","stemAzimuth","taxonID"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00792","sms","Live",NA,NA,0.4,0.9,0.6,NA,"half-sphere",1.2,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00771","sms","Live",NA,NA,0.8,1,0.6,NA,"half-sphere",1.7,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00792","sms","Live",NA,NA,0.4,0.9,0.6,NA,"half-sphere",1.6,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00770","sms","Standing dead",NA,NA,0.7,1.1,0.5,NA,"half-sphere",2.6,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00771","sms","Live",NA,NA,0.8,1,0.6,NA,"half-sphere",2.3,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00778","sms","Live",NA,NA,0.5,0.7,0.7,NA,"half-sphere",2.6,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00777","sms","Standing dead",NA,NA,1,0.5,0.3,NA,"cylinder",1.1,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00776","sms","Standing dead",NA,NA,0.8,1.4,1.2,NA,"half-sphere",3,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00105","sbt","Live",33,130,12.9,6.2,5.1,"Partially shaded",NA,NA,NA,NA,"vst_YELL_2019","1","31",6.3,31.5,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00784","sms","Standing dead",NA,NA,0.4,0.7,0.2,NA,"half-sphere",3.4,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00769","sms","Live",NA,NA,0.4,0.8,0.7,NA,"half-sphere",2.8,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00782","sms","Live",NA,NA,0.7,0.8,0.2,NA,"half-sphere",2.2,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00114","sbt","Live",49.8,130,16,9.2,8.1,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","3","49",3.1,162,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00776","sms","Standing dead",NA,NA,0.8,1.4,1.2,NA,"half-sphere",2.7,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00789","sms","Standing dead",NA,NA,0.5,0.5,0.5,NA,"half-sphere",2,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00801","sms","Standing dead",NA,NA,0.4,0.7,0.6,NA,"half-sphere",1.3,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00783","sms","Live",NA,NA,0.7,1.4,0.8,NA,"half-sphere",2.8,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00777","sms","Live",NA,NA,1,0.5,0.3,NA,"cylinder",2.6,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00782","sms","Standing dead",NA,NA,0.7,0.8,0.2,NA,"half-sphere",1.6,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00786","sms","Standing dead",NA,NA,0.5,1.1,0.5,NA,"half-sphere",3.1,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00801","sms","Live",NA,NA,0.4,0.7,0.6,NA,"half-sphere",2,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00770","sms","Standing dead",NA,NA,0.7,1.1,0.5,NA,"half-sphere",1,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00787","sms","Standing dead",NA,NA,1,0.8,0.5,NA,"half-sphere",2.1,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00786","sms","Live",NA,NA,0.5,1.1,0.5,NA,"half-sphere",1.6,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00772","sms","Live",NA,NA,0.6,1.5,0.7,NA,"oblate half-sphere",2.9,NA,NA,"vst_YELL_2019","1",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00111","sbt","Live",29.7,130,10.9,6.3,5.1,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","2","49",9.2,142,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00787","sms","Live",NA,NA,1,0.8,0.5,NA,"half-sphere",3.5,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00770","sms","Standing dead",NA,NA,0.7,1.1,0.5,NA,"half-sphere",2,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00787","sms","Standing dead",NA,NA,1,0.8,0.5,NA,"half-sphere",1.2,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00112","sbt","Live",41.4,130,14.4,7.6,6.8,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","1","49",6.3,158.3,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00792","sms","Live",NA,NA,0.4,0.9,0.6,NA,"half-sphere",2.4,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00772","sms","Standing dead",NA,NA,0.6,1.5,0.7,NA,"oblate half-sphere",2.7,NA,NA,"vst_YELL_2019","1",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00783","sms","Live",NA,NA,0.7,1.4,0.8,NA,"half-sphere",3,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00104","sbt","Live",31,130,10.1,6.3,6.1,"Mostly shaded",NA,NA,NA,NA,"vst_YELL_2019","1","31",3.4,19.1,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00786","sms","Live",NA,NA,0.5,1.1,0.5,NA,"half-sphere",1.2,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00779","sms","Live",NA,NA,0.4,0.2,0.2,NA,"cylinder",1,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00781","sms","Standing dead",NA,NA,0.6,0.7,0.5,NA,"half-sphere",1.9,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00769","sms","Standing dead",NA,NA,0.4,0.8,0.7,NA,"half-sphere",2.5,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00775","sms","Live",NA,NA,0.8,0.9,0.7,NA,"ellipsoid or sphere",2.7,NA,NA,"vst_YELL_2019","1",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00772","sms","Live",NA,NA,0.6,1.5,0.7,NA,"oblate half-sphere",2.3,NA,NA,"vst_YELL_2019","1",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00113","sbt","Standing dead",12.6,130,4.3,2.6,1.4,"Full shade",NA,NA,NA,NA,"vst_YELL_2019","1","41",9.1,284,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00788","sms","Live",NA,NA,0.4,0.5,0.3,NA,"half-sphere",3,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00771","sms","Standing dead",NA,NA,0.8,1,0.6,NA,"half-sphere",1.4,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00781","sms","Live",NA,NA,0.6,0.7,0.5,NA,"half-sphere",2.9,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00789","sms","Live",NA,NA,0.5,0.5,0.5,NA,"half-sphere",1.7,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00780","sms","Live",NA,NA,0.6,0.5,0.5,NA,"half-sphere",1.7,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00793","sms","Live",NA,NA,0.3,0.4,0.2,NA,"half-sphere",1.3,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00785","sms","Standing dead",NA,NA,0.7,1,0.5,NA,"half-sphere",3.2,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00773","sap","Live",1.2,NA,0.3,NA,NA,NA,NA,1.2,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00770","sms","Live",NA,NA,0.7,1.1,0.5,NA,"half-sphere",2.8,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00106","sbt","Standing dead",65.1,130,16.1,9.9,7.8,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","2","31",6.2,64,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00776","sms","Standing dead",NA,NA,0.8,1.4,1.2,NA,"half-sphere",2,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00110","sbt","Standing dead",37,130,13.1,5.8,4.7,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","2","33",2.3,271.5,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00785","sms","Standing dead",NA,NA,0.7,1,0.5,NA,"half-sphere",1.8,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00770","sms","Live",NA,NA,0.7,1.1,0.5,NA,"half-sphere",2.5,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00801","sms","Standing dead",NA,NA,0.4,0.7,0.6,NA,"half-sphere",1.2,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00769","sms","Live",NA,NA,0.4,0.8,0.7,NA,"half-sphere",2.3,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00785","sms","Live",NA,NA,0.7,1,0.5,NA,"half-sphere",2.7,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00801","sms","Live",NA,NA,0.4,0.7,0.6,NA,"half-sphere",2.1,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00771","sms","Live",NA,NA,0.8,1,0.6,NA,"half-sphere",2.2,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00776","sms","Live",NA,NA,0.8,1.4,1.2,NA,"half-sphere",4.8,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00801","sms","Live",NA,NA,0.4,0.7,0.6,NA,"half-sphere",1.4,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00108","sbt","Dead, broken bole",48.9,130,3.1,3.5,3.4,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","3","33",10.7,303,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00778","sms","Standing dead",NA,NA,0.5,0.7,0.7,NA,"half-sphere",2.1,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00109","sbt","Standing dead",14.7,130,5.8,3,3,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","2","33",2.7,270,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00780","sms","Live",NA,NA,0.6,0.5,0.5,NA,"half-sphere",1.1,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00785","sms","Standing dead",NA,NA,0.7,1,0.5,NA,"half-sphere",2.1,NA,NA,"vst_YELL_2019","2",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00780","sms","Live",NA,NA,0.6,0.5,0.5,NA,"half-sphere",1.7,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00793","sms","Live",NA,NA,0.3,0.4,0.2,NA,"half-sphere",1,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00774","sap","Live",1.2,NA,0.3,NA,NA,NA,NA,1.2,NA,NA,"vst_YELL_2019","1",NA,NA,NA,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00107","sbt","Live",48.1,130,18.5,7.2,4.2,"Full sun",NA,NA,NA,NA,"vst_YELL_2019","4","31",10.1,45,"PSME"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00780","sms","Live",NA,NA,0.6,0.5,0.5,NA,"half-sphere",1.4,NA,NA,"vst_YELL_2019","4",NA,NA,NA,"ARTR2"
"YELL","YELL_006",NA,"NEON.PLA.D12.YELL.00792","sms","Live",NA,NA,0.4,0.9,0.6,NA,"half-sphere",2.1,NA,NA,"vst_YELL_2019","3",NA,NA,NA,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00297","sms","Live",NA,NA,0.8,1,0.6,NA,"ellipsoid or sphere",1.1,NA,NA,"vst_YELL_2019","4","51",1.2,241.2,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00299","sms","Live",NA,NA,0.6,0.4,0.3,NA,"ellipsoid or sphere",1,NA,NA,"vst_YELL_2019","1","51",13.2,224.9,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00305","sms","Live",NA,NA,0.3,0.4,0.3,NA,"ellipsoid or sphere",1.8,NA,NA,"vst_YELL_2019","3","49",1.2,151.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00298","sms","Standing dead",NA,NA,0.4,0.4,0.3,NA,"ellipsoid or sphere",2.1,NA,NA,"vst_YELL_2019","4","51",2,239.1,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00300","sms","Live",NA,NA,0.6,0.3,0.2,NA,"cylinder",1.6,NA,NA,"vst_YELL_2019","1","51",12.9,226.2,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00303","sms","Live",NA,NA,0.8,0.8,0.7,NA,"ellipsoid or sphere",1.4,NA,NA,"vst_YELL_2019","1","49",9.1,179.8,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00294","sms","Live",NA,NA,0.8,1,0.9,NA,"ellipsoid or sphere",4.2,NA,NA,"vst_YELL_2019","2","31",19.6,89.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00298","sms","Standing dead",NA,NA,0.4,0.4,0.3,NA,"ellipsoid or sphere",2.3,NA,NA,"vst_YELL_2019","4","51",2,239.1,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00306","sms","Live",NA,NA,0.4,0.3,0.2,NA,"ellipsoid or sphere",1,NA,NA,"vst_YELL_2019","3","49",1.6,144.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00298","sms","Standing dead",NA,NA,0.4,0.4,0.3,NA,"ellipsoid or sphere",1.9,NA,NA,"vst_YELL_2019","4","51",2,239.1,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00297","sms","Live",NA,NA,0.8,1,0.6,NA,"ellipsoid or sphere",2,NA,NA,"vst_YELL_2019","4","51",1.2,241.2,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00303","sms","Live",NA,NA,0.8,0.8,0.7,NA,"ellipsoid or sphere",1.6,NA,NA,"vst_YELL_2019","1","49",9.1,179.8,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00291","sms","Standing dead",NA,NA,0.4,0.9,0.6,NA,"ellipsoid or sphere",1.3,NA,NA,"vst_YELL_2019","1","31",1.1,53.2,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00294","sms","Live",NA,NA,0.8,1,0.9,NA,"ellipsoid or sphere",2.5,NA,NA,"vst_YELL_2019","2","31",19.6,89.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00298","sms","Standing dead",NA,NA,0.4,0.4,0.3,NA,"ellipsoid or sphere",1,NA,NA,"vst_YELL_2019","4","51",2,239.1,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00295","sms","Live",NA,NA,0.5,0.8,0.5,NA,"ellipsoid or sphere",1.5,NA,NA,"vst_YELL_2019","2","33",1.6,339.3,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00313","sms","Live",NA,NA,0.2,0.3,0.2,NA,"ellipsoid or sphere",1.3,NA,NA,"vst_YELL_2019","3","49",1,139.9,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00303","sms","Live",NA,NA,0.8,0.8,0.7,NA,"ellipsoid or sphere",1.2,NA,NA,"vst_YELL_2019","1","49",9.1,179.8,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00301","sms","Standing dead",NA,NA,0.6,0.9,0.8,NA,"ellipsoid or sphere",1.7,NA,NA,"vst_YELL_2019","1","51",13,223.2,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00302","sms","Standing dead",NA,NA,0.7,0.7,0.4,NA,"ellipsoid or sphere",1.9,NA,NA,"vst_YELL_2019","1","51",12.6,222.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00299","sms","Standing dead",NA,NA,0.6,0.4,0.3,NA,"ellipsoid or sphere",1,NA,NA,"vst_YELL_2019","1","51",13.2,224.9,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00293","sms","Live",NA,NA,0.7,0.9,0.5,NA,"ellipsoid or sphere",3,NA,NA,"vst_YELL_2019","2","31",20.1,89.9,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00293","sms","Live",NA,NA,0.7,0.9,0.5,NA,"ellipsoid or sphere",2,NA,NA,"vst_YELL_2019","2","31",20.1,89.9,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00303","sms","Live",NA,NA,0.8,0.8,0.7,NA,"ellipsoid or sphere",2.5,NA,NA,"vst_YELL_2019","1","49",9.1,179.8,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00311","sms","Live",NA,NA,0.4,0.5,0.3,NA,"ellipsoid or sphere",1.6,NA,NA,"vst_YELL_2019","3","49",1.9,147.9,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00305","sms","Live",NA,NA,0.3,0.4,0.3,NA,"ellipsoid or sphere",1.7,NA,NA,"vst_YELL_2019","3","49",1.2,151.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00301","sms","Standing dead",NA,NA,0.6,0.9,0.8,NA,"ellipsoid or sphere",3.2,NA,NA,"vst_YELL_2019","1","51",13,223.2,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00294","sms","Live",NA,NA,0.8,1,0.9,NA,"ellipsoid or sphere",2.7,NA,NA,"vst_YELL_2019","2","31",19.6,89.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00303","sms","Live",NA,NA,0.8,0.8,0.7,NA,"ellipsoid or sphere",1.3,NA,NA,"vst_YELL_2019","1","49",9.1,179.8,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00315","sms","Live",NA,NA,0.3,0.4,0.3,NA,"ellipsoid or sphere",1.5,NA,NA,"vst_YELL_2019","3","49",0.9,113.4,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00308","sms","Live",NA,NA,0.3,0.5,0.3,NA,"ellipsoid or sphere",1.9,NA,NA,"vst_YELL_2019","3","49",1.6,123.7,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00296","sms","Standing dead",NA,NA,0.1,0.4,0.3,NA,"inverted cone",2.7,0.1,0.1,"vst_YELL_2019","2","33",1.5,351.6,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00311","sms","Live",NA,NA,0.4,0.5,0.3,NA,"ellipsoid or sphere",2,NA,NA,"vst_YELL_2019","3","49",1.9,147.9,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00304","sms","Live",NA,NA,0.3,0.5,0.4,NA,"ellipsoid or sphere",2.1,NA,NA,"vst_YELL_2019","3","49",1.6,162.3,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00303","sms","Live",NA,NA,0.8,0.8,0.7,NA,"ellipsoid or sphere",2.1,NA,NA,"vst_YELL_2019","1","49",9.1,179.8,"ARTR2"
"YELL","YELL_011",NA,"NEON.PLA.D12.YELL.00295","sms","Live",NA,NA,0.5,0.8,0.5,NA,"ellipsoid or sphere",1.4,NA,NA,"vst_YELL_2019","2","33",1.6,339.3,"ARTR2"
