compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Genus and species,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
WG_75,,,,Dicksoniaceae,CIME8,,Cibotium menziesii,,,,,0.21,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
SMS,H7,,,Hydrangeaceae,BRAR6,BRAR6,,,Broussaisia,arguta,,0.21,,,,,,,,Asner et al 2011 FEE field data,,,,,
SMS,H7,,,Dicksoniaceae,CIBOT,CIBOT,,,Cibotium,sp.,,0.21,,,,,,,,Asner et al 2011 FEE field data,,,,,
WG_75,,,,Dicksoniaceae,CIGL,,Cibotium glaucum,,,,,0.22,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Scrophulariaceae,PATO2,,Paulownia tomentosa,Princesstree,,,,0.28,,,,,32,"AQ, spg added from Zanne et al. Global wood density database. ",Introduced,,,,,,
WG_75,C3,conifer,Cupressaceae < 0.30 spg,Cupressaceae,THOC2,,Thuja occidentalis,"Cedar, northern white",,,241,0.29,3,66,3 – 66,,,,,,,,,forest,WG_75
SMS,,,,Cupressaceae,THUJA,THUJA,,,Thuja,sp.,,0.3,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLA,,A. lasiocarpa,"Fir, subalpine",,,19,0.31,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABLAL,,A. lasiocarpa var.lasiocarpa,"Fir, subalpine",,,19,0.31,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,THPL,,T. plicata,"Cedar, western red",,,242,0.31,3,69,3 – 169,,,,,,,,,forest,WG_75
WG_75,,,,Burseraceae,BUSI,,Bursera simaruba,Gumbo limbo,,,,0.31,,,,,141,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned.","Tropical, Florida/Puerto Rico only",,,,,,
WG_75,H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POBA2,,Populus balsamifera,"Populus, balasm poplar",,,741,0.31,3,53,3 – 53,,,,,,,,,,
WG_75,H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POBAT,,P.balsamifera. ssp. trichocarpa,"Populus, black Cottonwood",,,747,0.31,5,32,5 – 32,,,,,,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Tiliaceae,TIAM,,Tilia americana,"buckeye
Basswood",,,951,0.32,3,55,3 – 55,,,,,,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Tiliaceae,TIAMH,,T. americana. var. heterophylla,"Basswood, white",,,952,0.32,8,33,8 – 33,,,,,,,,,,
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABBA,,Abies balsamea,"Fir, balsam",,,12,0.33,3,51,3 – 51,,,,,,,,,forest,WG_75
WG_75,C1,conifer,Abies < 0.35 spg*,Pinaceae,ABFR,,A. fraseri,"Fir, Fraser",,,16,0.33,7,25,7 – 25,,,,,,,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PIEN,,Picea engelmannii,"Spruce, Engelmann",,,93,0.33,3,90,3 – 90,,,,,,,,,forest,WG_75
WG_75,C7,conifer,Picea < 0.35 spg,Pinaceae,PISI,,P. sitchensis,"Spruce, Sitka",,,98,0.33,5,83,5 – 283,,,,,,,,,forest,WG_75
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AECA,,Aesculus californica,,,,,0.33,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H13 used based on family",,,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AEFL,,Aesculus flava,"Aesculus, yellow",,,332,0.33,8,56,8 – 56,,,,,,,,,,
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PILA,,P. lambertiana,"Pine, sugar",,,117,0.34,3,80,3 – 180,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIST,,P. strobus,"Pine, eastern white",,,129,0.34,3,69,3 – 69,,,,,,,,,forest,WG_75
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,SEGI2,,Sequoiadendron giganteum,"Sequoia, giant",,,212,0.34,,,97-614,,,,,,,,,forest,WG_75
WG_75,H17,hardwood,Salicaceae < 0.35 spg,Salicaceae,POPUL,,Populus spp.,"Populus, cottonwood",,,740,0.34,3,40,3 – 40,,,,,,,,,,
WG_75,,,,Nyctaginaceae,PIAL3,,Pisonia albida,,,,,0.344,,,,,,SR - SPG not known; Puerto Rico,Puerto Rico,Zanne et al – average of 9 other Pisonia species,,,,,
SMS,,,,Rosaceae,RUHA,RUHA,,,Rubus,hawaiensis,,0.35,,,,,13668,,,Used value for Rubus alceifolius which is only species in Zanne et al 2009,,,,forest,http://usnvc.org/explore-classification/
WG_75,C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABGR,,A. grandis,"Fir, grand",,,,0.35,,,,,,Added by kj - based on worldagroforstr.org,,,,,,forest,WG_75
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,CADE27,,Calocedrus decurrens,incense-cedar,,,81,0.35,25,44,25– 144,,,,,,,,,forest,WG_75
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,POTR5,,P. tremuloides,"Populus, aspen quaking",,,746,0.35,3,0,3–70,,,,,,,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUCI,,Juglans cinerea,Butternut,,,,0.36,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",,,,,,forest,http://usnvc.org/explore-classification/
WG_75,C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABMA,, A. magnifica,"Fir, California red",,,,0.36,,,,,,added by kj,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRPEP,,Prunus pensylvanica,Pin cherry,,,,0.36,,,,,118,SM - spg added from Zanne et al. Global wood density database,,,,,,forest,WG_75
WG_75,C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIAB,,P.abies,"Spruce, Norway",,,91,0.36,6,44,6 – 44,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIMO3,,P. monticola,"Pine, western white",,,119,0.36,4,15,4 – 115,,,,,,,,,forest,WG_75
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SANI,,Salix nigra,Black willow,,,,0.36,,,,,6,SM - spg added from Zanne et al. Global wood density database,,,,,,,
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,POGR4,,P. grandidentata,"Populus, aspen bigtooth",,,743,0.36,3,5,3–55,,,,,,,,,,
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SAAL2,,Salix alba,"Willow, white",,,927,0.36,3,4,3 – 4,,,,,,,,,,
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SALIX,,Salix spp.,Willow,,,920,0.36,3,23,3 – 23,,,,,,,,,,
WG_75,C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PICEA,,Picea sp,,,,,0.366,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry assigned using this SPG ",,,,,,forest,WG_75
WG_75,C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABLO,,Abies lowiana,"Fir, white",,,,0.37,,,,formerly ABCOL Abies concolor var lowiana,,added by kj - A. concolor var lowania syn; Sr- SPG of higher taxonomic level used,,,,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Pinaceae,ABPR,ABPR,,,Abies,procera,,0.37,,,,,,,,Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
WG_75,C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIRU,,Picea rubens,Red spruce,,,,0.37,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIFL2,,P. flexilis,"Pine, limber",,,,0.37,,,,,,SR- spg from Zanne et al. Global wood density database. ,,,,,,forest,WG_75
WG_75,C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABCO,,A. concolor,"Fir, white",,,15,0.37,7,8,7–158,,,,,,,,,forest,WG_75
WG_75,C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIGL,,P. glauca,"Spruce, white",,,94,0.37,3,8,3–58,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIJE,,P. jeffreyi,"Pine, Jeffrey",,,116,0.37,3,33,3 – 133,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PINUS,,Pinus spp.,"Pine, ponderosa- lodgepole-sugar",,,100,0.37,16,80,16– 80,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Theaceae,GOLA,,Gordonia lasianthus,,,,,0.37,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H7 used due to family not represented in other groups",,,,,,,
SMS,,,,Betulaceae,ALNUS,ALNUS,,,Alnus,sp.,,0.37,,,,,,,,average of 1 NA specie in Zanne et al 2009,yes,,,,
WG_75,H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALRU2,,Alnus rubra,"Alder, red",,,351,0.37,3,64,3 – 64,,,,,,,,,,
WG_75,H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALVI5,,Alnus viridis,"Alder, sitka",,,350,0.37,3,7,3 – 7,,,,,,,,,,
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PINACE,,Pinus spp.,"Pine, ponderosa- lodgepole-sugar",,,100,0.37,16,80,16– 80,,,,,,,,,,
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,PODE3,,P. deltoides,"Populus, cottonwood eastern",,,742,0.37,3,7,3–27,,,,,,,,,,
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SASC,,Salix scouleriana,,,,,0.375,,,,,,"SR - SPG not known; allometry chosen based on Jenkins, Chojnacky 2004 reporting Salix spp specic gravity to be 0.36. Used this general assumption.",,Zanne et al – average of the 2 other North American species,,,,,
WG_75,H18,hardwood,Salicaceae ≥ 0.35 spg,Salicaceae,SABE2,,Salix bebbiana,"Willow, Bebb",,,,0.375,,,,,,"SR- SPG not known, allometry chosen based on other Salix spp.",,Zanne et al – average of the 2 other North American species,,,,,
SMS,,,,Salicaceae,SAAL,SAAL,,,Salix,alaxensis,,0.375,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Salicaceae,SACA4,SACA4,,,Salix,candida,,0.375,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Salicaceae,SAGL,SAGL,,,Salix,glauca,,0.375,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Salicaceae,SAMY,SAMY,,,Salix,myrtillifolia,,0.375,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Salicaceae,SAPE5,SAPE5,,,Salix,petiolaris,,0.375,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Salicaceae,SAPU15,SAPU15,,,Salix,pulchra,,0.375,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Salicaceae,SARI4,SARI4,,,Salix,richardsonii,,0.375,,,,,,,,average of 2 NA species in Zanne et al 2009,yes,,,,
WG_75,C8,conifer,Picea ≥ 0.35 spg,Pinaceae,PIMA,,P. mariana,"Spruce, black",,,,0.38,,,,,,Added by kj - based on worldagroforstr.org,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PICOL,,P. contorta var. latifolia,"Pine, lodgepole",,,,0.38,,,,syn PICOL2,,SR- spg from P. contorta used,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PICO,,P. contorta,"Pine, lodgepole",,,108,0.38,3,60,3 – 60,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIPO,,P. ponderosa,"Pine, ponderosa",,,122,0.38,3,18,3 – 118,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIPOS,,P. ponderosa,"Pine, ponderosa",,,122,0.38,3,18,3 – 118,,,,,,,,,forest,WG_75
WG_75,C12,conifer,Tsuga < 0.40 spg,Pinaceae,TSCA,,Tsuga canadensis,"Hemlock, eastern",,,261,0.38,3,85,3 – 85,,,,,,,,,forest,WG_75
WG_75,,,,Boraginaceae,COCO5,,Cordia collococca,red manjack,,,,0.38,,,,,116,"BS, spg added from Zanne et al. Global wood density database. Assigned Central America value. Hawaii, Puerto Rico",Tropical,,,,,,
SMS,H7,,,Rubiaceae,HETE21,HETE21,,,Hedyotis,terminalis,,0.38,,,,,,,,Asner et al 2011 FEE field data,,,,,
WG_75,C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABIES,,Abies spp. ,"Fir, Pacific silver - noble - other",,,10,0.39,9,11,9 – 111,,,,,,,,,forest,WG_75
WG_75,C2,conifer,Abies ≥ 0.35 spg,Pinaceae,ABAM,,A. amabilis,"Fir, Pacific silver",,,11,0.4,4,9,4 – 109,,,,,,,,,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,CADE12,,Castanea dentata,"Chestnut, American",,,421,0.4,3,32,3 – 32,,,,,,,decid,WG_75,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIBA2,,P. banksiana,"Pine, jack",,,105,0.4,3,41,3 – 41,,,,,,,,,forest,WG_75
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,LITU,,Liriodendron tulipifera,Tulip poplar,,,621,0.4,3,65,3 – 65,,,,,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAFR,,Magnolia fraseri,"Magnolia, Fraser",,,655,0.4,5,13,5 – 13,,,,,,,,,,
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIGL2,,Pinus glabra,Spruce pine,,,,0.41,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,forest,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,CUPRE,,Cupressus spp.,"Cypress, pygmy",,,50,0.41,4,12,4 – 12,,,,,,,,,woodland,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIRE,,P. resinosa,"Pine, red",,,125,0.41,3,55,3 – 55,,,,,,,,,forest,WG_75
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNE2,,Acer negundo,Box elder,,,,0.416,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNEN,,Acer negundo var. negundo,Box elder,,,,0.416,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,TADI2,,Taxodium distichum,Bald cypress,,,,0.42,,,,,7,SM - spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.,,,,,,forest,WG_75
WG_75,C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,CANO9,,Chamaecyparis nootkatensis,"Cedar, Alaska",,,42,0.42,8,9,8 – 109,,,,,,,,,forest,WG_75
WG_75,H11,hardwood,"Fagaceae, evergreen",Fagaceae,CHCH7,,Chrysolepis chrysophylla,"Chinkapin, golden",,,431,0.42,3,61,3 – 61,,,,,,,ever,WG_75,forest,WG_75
WG_75,C13,conifer,Tsuga  ≥ 0.40 spg,Pinaceae,TSHE,,T. heterophylla,"Hemlock, western",,,263,0.42,3,72,3 – 172,,,,,,,,,forest,WG_75
WG_75,C13,conifer,Tsuga  ≥ 0.40 spg,Pinaceae,TSME,,T. mertensiana,"Hemlock, mountain",,,264,0.42,,,9-126,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Meliaceae,MEAZ,,Melia azedarach,Chinaberrytree ,,,,0.42,,,,,119,"AQ, spg added from Zanne et al. Global wood density database. 9 values, median value assigned.",Introduced,,,,,,
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAVI2,,M. virginiana,"Magnolia, sweetbay",,,653,0.42,3,19,3 – 19,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,SAAL5,,Sassafras albidum,Sassafras,,,931,0.42,3,15,3 – 15,,,,,,,,,,
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAL,,Pinus albicaulis,"Pine, whitebark",,,101,0.43,3,50,3 – 50,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PIAR5,,P. arizonica,"Pine, Arizona",,,135,0.43,10,45,10– 45,PIARA and PIARS2 also this species,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PILE,,P. leiophylla,"Pine, Chihuahua",,,118,0.43,10,35,10– 35,,,,,,,,,forest,WG_75
WG_75,C9,conifer,Pinus < 0.45 spg,Pinaceae,PISA2,,P. sabiniana,"Pine, California foothill",,,,0.433,,,,,,SR- spg not known,,average of 20 NA species in Zanne et al 2009,,,,forest,WG_75
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,ALINR,,Alnus incana ssp. rugosa,Speckled alder,,,,0.43911,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,JUVIV,,Juniperus virginiana var. virginiana ,Eastern redcedar ,,,,0.44,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",,,,,,forest,WG_75
WG_75,C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,JUVI,,Juniperus virginiana,"Juniper, eastern redcedar",,,68,0.44,3,43,3 – 43,,,,,,,,,forest,WG_75
WG_75,H14,hardwood,Magnoliaceae,Magnoliaceae,MAAC,,Magnolia acuminata,Cucumber tree,,,,0.44,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACMA3,,Acer macrophyllum,"Maple, bigleaf",,,312,0.44,5,46,5 – 46,,,,,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACPE,,A. pensylvanicum,"Maple, striped",,,315,0.44,3,13,3 – 13,,,,,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSA2,,A. saccharinum,"Maple, silver",,,317,0.44,4,45,4 – 45,,,,,,,,,,
SMS,,,,Cupressaceae,JUNIP,JUNIP,,,Juniperus,sp.,,0.447,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Cupressaceae,JUSC2,JUSC2,,,Juniperus,scopulorum,,0.447,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
WG_75,C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIVI2,,Pinus virginiana ,Virginia pine,,,,0.45,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,forest,WG_75
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUOC,,J. occidentalis,"Juniper, western",,,64,0.45,5,87,5 – 87,,,,,,,,,woodland,WG_75
WG_75,C11,conifer,Pseudotsuga,Pinaceae,PSME,,Pseudotsuga menziesii,Douglas-fir,,,202,0.45,3,15,3 – 215,,,,,,,,,forest,WG_75
WG_75,C11,conifer,Pseudotsuga,Pinaceae,PSMEM,,Pseudotsuga menziesii,Douglas-fir,,,202,0.45,3,15,3 – 215,,,,,,,,,forest,WG_75
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPO,,B. populifolia,"Birch, gray",,,379,0.45,3,23,3 – 23,,,,,,,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRNI,,Fraxinus nigra,"Ash, black",,,543,0.45,3,43,3 – 43,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Simaroubaceae,AIAL,,Ailanthus altissima,Tree of heaven,,,,0.457191,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. There were 6 spg values for this species and the one entered here is only one from the North American region; Allometry assigned based on family not included in other allometries",,,,,,,
SMS,,,,Pinaceae,PICL,PICL,,,Pinus,clausa,,0.46,,,,,,,,Zanne et al 2009,yes,,,woodland,6 of 9 associations woodland in http://usnvc.org/explore-classification/ 
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYBI,,Nyssa biflora,,,,,0.46,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004 syn: N. sylvatica var. biflora; allometry assignef based on Cornaceae",,,,,,,
WG_75,H12,hardwood,Hamamelidaceae,Hamamelidaceae,LIST2,,Liquidambar styraciflua,Sweetgum,,,611,0.46,3,53,3 – 53,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYAQ2,,Nyssa aquatica,"Tupelo, water",,,691,0.46,3,25,3 – 25,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,NYSY,,N. sylvatica,"Tupelo, blackgum",,,693,0.46,3,50,3 – 50,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Platanaceae,PLOC,,Platanus occidentalis,Sycamore,,,731,0.46,3,50,3 – 50,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULAM,,Ulmus americana,Elm,,,972,0.46,3,55,3 – 55,,,,,,,,,,
