compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Genus and species,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Elaeagnaceae,ELAN,,Elaeagnus angustifolia,Russian olive,,,,0.464,,,,,33,"AQ, spg added from Zanne et al. Global wood density database. 3 spg values, the median value was assigned.","Introduced not sure if this should be removed, RAC",,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BECAC,,Betula × caerulea var. caerulea,,,,,0.465,,,,,,SR- SPG not known; H4 chosen because both hybrid parents are contained with this allometry. Assumption is that hybrid would also be within this allometry,,Zanne et al – average of B. populifolia and B. papyrifera parents,,,,,
SMS,,,,Juglandaceae,JUGLA,JUGLA,,,Juglans,sp.,,0.467,,,,,,,,average of 3 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Aceraceae,ACGL,ACGL,,,Acer,glabrum,,0.468,,,,,,,,average of 8 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Aceraceae,ACGLD4,ACGLD4,,,Acer,glabrum,,0.468,,,,,,,,average of 8 NA species in Zanne et al 2009,yes,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRSES,,Prunus serotina,Black cherry,,,,0.47,,,,,6,SM - spg added from Zanne et al. Global wood density database,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRAM,,Prunus americana,,,,,0.47,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; allometry assigned based on Rosaceae",,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PREM,,Prunus emarginata,,,,,0.47,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004; this paper indicates this could be covered under woodland allometry W2",,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRUNU,,Prunus sp.,,,,,0.47,,,,,,"SR- spg from Jenkins, Chojnacky, et al 2004; allometry assigned based on Family",,,,,,forest,WG_75
WG_75,C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIEC2,,P. echinata,"Pine, shortleaf",,,110,0.47,4,50,4 – 50,,,,,,,,,forest,WG_75
WG_75,C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIRI,,P. rigida,"Pine, pitch",,,126,0.47,3,31,3 – 31,,,,,,,,,forest,WG_75
WG_75,C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PITA,,P. taeda,"Pine, loblolly",,,131,0.47,3,56,3 – 56,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRPE2,,Prunus pensylvanica,"Cherry, pin",,,761,0.47,3,42,3 – 42,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRSE2,,P. serotina,"Cherry, black",,,762,0.47,3,50,3 – 50,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRVI,,P. virginiana,"Cherry, Chokecherry",,,763,0.47,3,15,3 – 15,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CELA,,Celtis laevigata,Sugarberry,,,,0.47,,,,,118,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,,
WG_75,,,,Araliaceae ,CHTR2,,Cheirodendron trigynum,,,,,0.47,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Annonaceae,ASTR,,Asimina triloba,,,,,0.47,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H7 used due to family not represented in other groups",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSP2,,A. spicatum,"Maple, mountain",,,319,0.47,3,10,3 – 10,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,PRAV,,Prunus avium,Sweet cherry ,,,,0.474,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. ",Introduced,,,,,forest,WG_75
WG_75,C6,conifer,Larix,Pinaceae,LAOC,,L. occidentalis,"Tamarack, western larch",,,73,0.48,3,98,3 – 98,,,,,,,,,forest,WG_75
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAC2,,Betula papyrifera var. cordifolia,Mountain paper birch,,,,0.48,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAP,,Betula papyrifera var. papyrifera ,Paper birch,,,,0.48,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULRU,,Ulmus rubra,Slippery elm,,,,0.48,,,,,6,SM - spg added from Zanne et al. Global wood density database. Allometry assigned based on family.,,,,,,,
WG_75,,,,Rubiaceae,COOC3,,Coprosma ochracea,,,,,0.48,,,,,,SR - SPG not known,Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,,,,Aquifoliaceae,ILAN,,Ilex anomala,,,,,0.48,,,,,,SR- SPG not known,Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPA,,Betula papyrifera,"Birch, paper",,,375,0.48,3,51,3 – 51,,,,,,,,,,
SMS,H7,,,Rubiaceae,COER3,COER3,,,Coprosma,ernodeoides,,0.48,,,,,,,,Asner et al 2011 FEE field data,,,,,
SMS,H7,,,Rutaceae,MELIC3,MELIC3,,,Melicope,sp.,,0.482,,,,,,,,,,,,,
SMS,H7,,,Rutaceae,MERA2,MERA2,,,Melicope,radiata,,0.482,,,,,,,,,,,,,
WG_75,C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIPU5,,Pinus pungens,Table Mountain pine,,,,0.49,,,,,7,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,forest,WG_75
WG_75,C6,conifer,Larix,Pinaceae,LALA,,Larix larcina,Tamarack,,,71,0.49,3,51,3 – 51,,,,,,,,,forest,WG_75
WG_75,C6,conifer,Larix,Pinaceae,LARIX,,L. spp.,"Tamarack, larch (introduced)",,,70,0.49,6,35,6 – 35,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CEOC,,Celtis occidentalis,Common hackberry ,,,,0.49,,,,syn CEOCO2,118,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRUR,,Acer rubrum var. rubrum,Red maple,,,,0.49,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BENI,,Betula nigra,River birch,,,,0.49,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACER,,Acer sp,,,,,0.49,,,,,,"SR- Assigning this allometry based on the fact that most maples have a SPG <0.5, however this is a tenuous assumption especially if sugar maple is common in a region, and in that case it should be H2",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRU,,A. rubrum,"Maple, red",,,316,0.49,3,66,3 – 66,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Aquifoliaceae,ILOP,,Ilex opaca,American holly,,,,0.5,,,,,,"kj assigned, spg from Zanne et al. 2009",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,RHMA4,,Rhododendron maximum,Great laurel,,,,0.5,,,,,118,SM - spg added from Zanne et al. Global wood density database. Allometry assigned based on family.,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULMUSSPP,,Ulmus spp,,,,,0.5,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004",,,,,,,
WG_75,,,,Epacridaceae,STTA,,Styphelia tameiameiae,,,,,0.5,,,,,,SR- SPG not known,Hawaii,Asner et al 2011 FEE – default value,,,,,
SMS,H7,,,Rutaceae,MECL,MECL,,,Melicope,clusiifolia,,0.5,,,,,,,,Asner et al 2011 FEE – citing Chave et al 2009,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,OXAR,,Oxydendrum arboreum,Sourwood,,,711,0.5,4,35,4 – 35,,,,,,,,,,
SMS,H7,,,Rubiaceae,ROIN4,ROIN4,,,Rondeletia,inermis,,0.5,,,,,13651,,,Used value for Rondeletia galeottii which is only species in Zanne et al 2009,,,,,
SMS,H7,,,Blechnaceae,SACY3,SACY3,,,Sadleria,cyatheoides,,0.5,,,,,,,,Asner et al 2011 FEE – default value,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,FRPU7,,Frangula purshiana,Cascara buckthorn,,,,0.501,,,,,118,"BS, spg added from Zanne et al. Global wood density database. Listed under synonym Rhamnus purshiana there.",,,,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Juglandaceae,JUNI,,Juglans nigra,Black walnut ,,,,0.51,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on family.",,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUKE,,Q. kelloggii,"Oak, California black",,,812,0.51,3,56,3 – 56,,,kj assigned,,,,decid,WG_75,forest,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PICE,,Pinus cembroides,"Pine, pinyon",,,140,0.51,4,19,4 – 19,,,,,,,,,woodland,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PIED,,P. edulis,"Pine, pinyon",,,106,0.51,5,45,5 – 45,,,,,,,,,woodland,WG_75
WG_75,W4,woodland,Pinaceae,Pinaceae,PIMO,,P. monophylla,"Pine, pinyon singleleaf",,,133,0.51,3,75,3 – 75,,,,,,,,,woodland,WG_75
WG_75,H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACCI,,Acer circinatum,Vine maple,,,,0.51,,,,,,"SR- other species in the palmatum group of maples have SPG >0.5, used this as a guide for allometry selection",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Lauraceae,PEBO,,Persea borbonia,,,,,0.51,,,,,,"SR-SPG from Jenkins, Chojnacky, et al 2004",,,,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRAXI,,Fraxinus spp.,Ash,,,540,0.51,4,32,4 – 32,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,UMCA,,Umbellularia californica,California bay laurel,,,981,0.51,8,61,8 – 61,,,,,,,,,,
SMS,,,,Cupressaceae,JUCO6,JUCO6,,,Juniperus,communis,,0.517,,,,,,,,Zanne et al 2009,yes,,,forest,10 of 19 associations forested in http://usnvc.org/explore-classification/ 
WG_75,C5,conifer,Cupressaceae ≥ 0.40 spg,Cupressaceae,JUCOD,,Juniperus communis var. depressa,Common juniper ,,,,0.517,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned based on SPG.",,,,,,forest,WG_75
SMS,,,,Betulaceae,BEGL,BEGL,,,Betula,glandulosa,,0.517,,,,,,,,average of 6 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Betulaceae,BEGL/BENA,BEGL/BENA,,,Betula,,,0.517,,,,,,,,average of 6 NA species in Zanne et al 2009,yes,,,,
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUFA,,Q. falcata,"Oak, red southern",,,812,0.52,3,56,3 – 56,,,,,,,decid,WG_75,forest,WG_75
WG_75,H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACNI5,,Acer nigrum,Black maple,,,,0.52,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,GYDI,,Gymnocladus dioicus,Kentucky coffeetree ,,,,0.53,,,,,,"JG, spg added from Zanne et al. Global wood density database. ",,,,,,forest,WG_75
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BENE4,,B. neoalaskana,"Birch, resin",,,,0.53,,,,,,Added by kj - based on worldagroforstr.org,,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEOC2,,Betula occidentalis,,,,,0.53,,,,,,"SR- spg from Jenkins, Chojnacky, et al 2004; allometry chosen based on this SPG",,,,,,,
WG_75,H15,hardwood,Oleaceae < 0.55 spg,Oleaceae,FRPE,,F. pennsylvanica,"Ash, green",,,544,0.53,3,42,3 – 42,,,,,,,,,,
WG_75,W1,woodland,Cupressaceae,Cupressaceae,JUOS,,J. osteosperma,"Juniper, Utah",,,65,0.54,8,85,8 – 85,,,,,,,,,woodland,WG_75
WG_75,C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIEL,,P. elliottii,"Pine, slash",,,111,0.54,3,53,3 – 53,,,,,,,,,forest,WG_75
WG_75,C10,conifer,Pinus ≥ 0.45 spg,Pinaceae,PIPA2,,P. palustris,"Pine, longleaf",,,121,0.54,15,48,15– 48,,,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Boraginaceae,BOURR,,Bourreria sp,,,,,0.54,,,,,,spg from Bourreria succulenta copied,,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BETUL,,Betula sp,,,,,0.54,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry assigned using this SPG ",,,,,,,
WG_75,,,,Boraginaceae,BOSU2,,Bourreria succulenta,,,,,0.54,,,,,,"SR- spg from Brandeis, T.J., et al 2006; Puerto Rico",Puerto Rico,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULMUS,,U. spp.,Elm,,,970,0.54,3,27,3 – 27,,,,,,,,,,
WG_75,,,,Fabaceae,ACKO,,Acacia koa,,,,,0.55,,,,,,SR - SPG from Skolmen 1974; Hawaii,Hawaii,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,ULPU,,Ulmus pumila,Siberian elm,,,,0.55,,,,,33,SM - spg added from Zanne et al. Global wood density database. There are 2 spg values from the Global wood density database for this species. Allometry assigned based on family.,,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCO6,,Corylus cornuta,,,,,0.55,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,Zanne et al – average of 2 other Corylus species,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCOC,,Corylus cornuta,,,,,0.55,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,Zanne et al – average of 2 other Corylus species,,,,,
SMS,,,,Oleaceae,FRAM2/FRPE,FRAM2/FRPE,,,Fraxinus,americana/pennsylvanica,,0.55,,,,,,,,Zanne et al 2009,yes,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEAL2,,B. alleghaniensis,"Birch, yellow",,,371,0.55,3,70,3 – 70,,,,,,,,,,
WG_75,H16,hardwood,Oleaceae ≥ 0.55 spg,Oleaceae,FRAM2,,F. americana,"Ash, white",,,541,0.55,3,55,3 – 55,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,RHDA,,Rhamnus davurica,Dahurian buckthorn,,,,0.551,,,,,33,SM - spg added from Zanne et al. Global wood density database,Introduced,,,,,,
WG_75,,,,Anacardiaceae,MAIN3,,Mangifera indica,Mango,,,,0.552,,,,,182,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned.","Introduced, Tropical, Only occurs in Florida and Puerto Rico",,,,,,
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUHE,,Quercus × heterophylla,Bartram oak,,,,0.56,,,,,6,"BS, spg for this hybrid's parents (Q. phellos x rubra) added from Zanne et al. Global wood density database. ",,,,decid,WG_75,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMA3,,Quercus marilandica,"Oak, blackjack",,,,0.56,,,,,,"kj assigned; SR- spg from Jenkins, Chojnacky et al 2004",,,,decid,WG_75,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUPH,,Quercus phellos,Willow oak,,,,0.56,,,,,6,SM - spg added from Zanne et al. Global wood density database. Allometry H10 assigned because it is deciduous (FNA).,,,,decid,WG_75,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,FAGR,,Fagus grandifolia,Beech,,,531,0.56,3,66,3 – 66,,,,,,,decid,WG_75,forest,WG_75
WG_75,H11,hardwood,"Fagaceae, evergreen",Fagaceae,QULA3,,Q. laurifolia,"Oak, laurel",,,820,0.56,3,44,3 – 44,,,,,,,ever,WG_75,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUNI,,Q. nigra,"Oak, water",,,827,0.56,3,51,3 – 51,,,,,,,decid,WG_75,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QURU,,Q. rubra,"Oak, red northern",,,833,0.56,3,73,3 – 73,,,,,,,decid,WG_75,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUVE,,Q. velutina,"Oak, black",,,837,0.56,3,89,3 – 89,,,,,,,decid,WG_75,forest,WG_75
WG_75,H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACSAS,,Acer saccharum var. saccharum,Sugar maple,,,,0.56,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H12,hardwood,Hamamelidaceae,Hamamelidaceae,HAVI4,,Hamamelis virginiana,American witch-hazel,,,,0.56,,,,,,"kj assigned, spg from Zanne et al. 2009",,,,,,,
WG_75,H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACFL,,Acer floridanum,,,,,0.56,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry asigned based on SPG",,,,,,,
WG_75,H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACBA3,,Acer barbatum,,,,,0.56,,,,,,"SR- syn for A. floridanum, spg for that species used. Allometry assigned based on SPG.",,,,,,,
WG_75,H2,hardwood,Aceraceae ≥ 0.50 spg,Aceraceae,ACSA3,,A. saccharum,"Maple, sugar",,,318,0.56,3,70,3 – 70,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,CRBE4,CRBE4,,,Croton,betulinus,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CRDI8,CRDI8,,,Croton,discolor,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CRFL23,CRFL23,,,Croton,flavens,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CRLU2,CRLU2,,,Croton,lucidus,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CROTO,CROTO,,,Croton,sp.,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Euphorbiaceae,CROTOSPP,CROTOSPP,,,Croton,spp.,,0.565,,,,,,,,Average of 2 Mexican and Central American species in Zanne et al 2009,,,,,
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QULY,,Quercus lyrata,overcup oak,,,,0.57,,,,,6,"BS, spg added from Zanne et al. Global wood density database. Allometry H10 assigned because it is deciduous (FNA).",,,,decid,WG_75,forest,WG_75
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,QUMO4,,Q. prinus,"Oak, chestnut",,,832,0.57,3,58,3 – 58,,,synonym,,,,decid,WG_75,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Moraceae,MOAL,,Morus alba,White mulberry,,,,0.578,,,,,33,"AQ, spg added from Zanne et al. Global wood density database. 9 values, median value assigned.",Introduced,,,,,,
WG_75,W3,woodland,Fagaceae,Fagaceae,QUCH2,,Quercus (live) spp. (**should this be Q. chrysolepis?),"Oak, evergreen spp. (**Oak, canyon live)",,,850,0.58,9,74,9 – 74,,,"assumes drc, may require dbh to drc conversion",,,,,,woodland,WG_75
WG_75,W3,woodland,Fagaceae,Fagaceae,QUWI2,,Quercus (live) spp. (**should this be Q. wislizeni?),"Oak, evergreen spp. (**Oak, interior live)",,,850,0.58,9,74,9 – 74,,,"assumes drc, may require dbh to drc conversion",,,,,,woodland,WG_75
