allometry_ID,taxonID,freq,allometry_ID,acceptedTaxonID,taxonRank,family,genus,specificEpithet,spg_gcm3,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
,ABLO,683,,ABLO,species,Pinaceae,Abies,lowiana,0.347,average of 8 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
,ABPR,4,,ABPR,species,Pinaceae,Abies,procera,0.37,Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
,JUCO6,46,,JUCO6,species,Cupressaceae,Juniperus,communis,0.517,Zanne et al 2009,yes,,,forest,10 of 19 associations forested in http://usnvc.org/explore-classification/ 
,THUJA,73,,THUJA,genus,Cupressaceae,Thuja,sp.,0.3,average of 2 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
,JUSC2,1,,JUSC2,species,Cupressaceae,Juniperus,scopulorum,0.447,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
,JUNIP,349,,JUNIP,genus,Cupressaceae,Juniperus,sp.,0.447,average of 3 NA species in Zanne et al 2009,yes,,,woodland,http://usnvc.org/explore-classification/
,PICL,5,,PICL,species,Pinaceae,Pinus,clausa,0.460,Zanne et al 2009,yes,,,woodland,6 of 9 associations woodland in http://usnvc.org/explore-classification/ 
,ACGL,2,,ACGL,species,Aceraceae,Acer,glabrum,0.468,average of 8 NA species in Zanne et al 2009,yes,,,,
,ACGLD4,1,,ACGLD4,variety,Aceraceae,Acer,glabrum,0.468,average of 8 NA species in Zanne et al 2009,yes,,,,
,ALNUS,1711,,ALNUS,genus,Betulaceae,Alnus,sp.,0.37,average of 1 NA specie in Zanne et al 2009,yes,,,,
,BEGL,13,,BEGL,species,Betulaceae,Betula,glandulosa,0.517,average of 6 NA species in Zanne et al 2009,yes,,,,
,BEGL/BENA,2448,,BEGL/BENA,speciesGroup,Betulaceae,Betula,,0.517,average of 6 NA species in Zanne et al 2009,yes,,,,
,CACAV,38,,CACAV,subspecies,Betulaceae,Carpinus,caroliniana,0.58,Zanne et al 2009,yes,,,,
,CACA38,1,,CACA38,species,Juglandaceae,Carya,carolinae-septentrionalis,0.611,average of 10 NA species in Zanne et al 2009,yes,,,,
,COAM3,3,,COAM3,species,Betulaceae,Corylus,americana,unknown,genus not in Zanne et al 2009,yes,,,,
,COCOC2,2,,COCOC2,variety,Betulaceae,Corylus,cornuta,unknown,genus not in Zanne et al 2009,yes,,,,
,FOAC,2,,FOAC,species,Oleaceae,Forestiera,acuminata,unknown,genus not in Zanne et al 2009,yes,,,,
,FRAM2/FRPE,19,,FRAM2/FRPE,speciesGroup,Oleaceae,Fraxinus,americana/pennsylvanica,0.550,Zanne et al 2009,yes,,,,
,JAFL,329,,JAFL,species,Oleaceae,Jasminum,fluminense,unknown,genus not in Zanne et al 2009,yes,,,,
,JUGLA,4,,JUGLA,genus,Juglandaceae,Juglans,sp.,0.467,average of 3 NA species in Zanne et al 2009,yes,,,,
,LIJA,27,,LIJA,species,Oleaceae,Ligustrum,japonicum,unknown,genus not in Zanne et al 2009,yes,,,,
,LISI,642,,LISI,species,Oleaceae,Ligustrum,sinense,unknown,genus not in Zanne et al 2009,yes,,,,
,LIVU,39,,LIVU,species,Oleaceae,Ligustrum,vulgare,0.805,Zanne et al 2009,yes,,,,
,SAAL,3,,SAAL,species,Salicaceae,Salix,alaxensis,0.375,average of 2 NA species in Zanne et al 2009,yes,,,,
,SACA4,2,,SACA4,species,Salicaceae,Salix,candida,0.375,average of 2 NA species in Zanne et al 2009,yes,,,,
,SAGL,232,,SAGL,species,Salicaceae,Salix,glauca,0.375,average of 2 NA species in Zanne et al 2009,yes,,,,
,SAMY,7,,SAMY,species,Salicaceae,Salix,myrtillifolia,0.375,average of 2 NA species in Zanne et al 2009,yes,,,,
,SAPE5,1,,SAPE5,species,Salicaceae,Salix,petiolaris,0.375,average of 2 NA species in Zanne et al 2009,yes,,,,
,SAPU15,1290,,SAPU15,species,Salicaceae,Salix,pulchra,0.375,average of 2 NA species in Zanne et al 2009,yes,,,,
,SARI4,2,,SARI4,species,Salicaceae,Salix,richardsonii,0.375,average of 2 NA species in Zanne et al 2009,yes,,,,
,CHSE11,2,,CHSE11,species,Fagaceae,Chrysolepis,sempervirens,,,no,ever,calscape.org,forest,http://usnvc.org/explore-classification/
,QUIN7,2,,QUIN7,species,Fagaceae,Quercus,inopina,,,no,ever,www.efloras.org ,woodland,http://usnvc.org/explore-classification/
,CASTA,222,,CASTA,genus,Fagaceae,Castanea,sp.,,,no,decid,www.efloras.org ,forest,http://usnvc.org/explore-classification/
,QUMA13,2987,,QUMA13,species,Fagaceae,Quercus,margaretta,,,no,decid,https://aggie-horticulture.tamu.edu/ornamentals/natives/QUERCUSMARGARETTA.HTM ,forest,http://usnvc.org/explore-classification/
,QUPU80,3,,QUPU80,species,Fagaceae,Quercus,pumila,,,no,decid,www.efloras.org ,woodland,http://usnvc.org/explore-classification/
H9,ABPR3,1,,ABPR3,species,Fabaceae,Abrus,precatorius,,,no,,,,
H9,ACFA,92,,ACFA,species,Fabaceae,Acacia,farnesiana,,,no,,,,
H9,ACRE4,71,,ACRE4,species,Fabaceae,Acacia,retusa,,,no,,,,
H13,AEPA,107,,AEPA,species,Hippocastanaceae,Aesculus,pavia,,,no,,,,
H9,AMFR,51,,AMFR,species,Fabaceae,Amorpha,fruticosa,,,no,,,,
H9,CERCI2,3,,CERCI2,genus,Fabaceae,Cercis,sp.,,,no,,,,
H9,CLADR,3,,CLADR,genus,Fabaceae,Cladrastis,sp.,,,no,,,,
H9,CLTE3,8,,CLTE3,species,Fabaceae,Clitoria,ternatea,,,no,,,,
H9,GAST2,43,,GAST2,species,Fabaceae,Galactia,striata,,,no,,,,
H9,HACA2,9,,HACA2,species,Fabaceae,Haematoxylum,campechianum,,,no,,,,
H12,HAVI4,1409,,HAVI4,species,Hamamelidaceae,Hamamelis,virginiana,,,no,,,,
H9,LAJAM,1,,LAJAM,variety,Fabaceae,Lathyrus,japonicus,,,no,,,,
H9,LEBI2,19,,LEBI2,species,Fabaceae,Lespedeza,bicolor,,,no,,,,
H9,LUAL4,81,,LUAL4,species,Fabaceae,Lupinus,albifrons,,,no,,,,
H14,MAGNO,226,,MAGNO,genus,Magnoliaceae,Magnolia,sp.,,,no,,,,
H9,PARKI2,51,,PARKI2,genus,Fabaceae,Parkinsonia,sp.,,,no,,,,
H9,PIUN,171,,PIUN,species,Fabaceae,Pithecellobium,unguis-cati,,,no,,,,
H9,POFL20,42,,POFL20,species,Fabaceae,Poitea,florida,,,no,,,,
H9,POPA34,4,,POPA34,species,Fabaceae,Poitea,paucifolia,,,no,,,,
H9,WISTE,4,,WISTE,genus,Fabaceae,Wisteria,sp.,,,no,,,,
H9,ZAPO2,27,,ZAPO2,species,Fabaceae,Zapoteca,portoricensis,,,no,,,,
H9,FABACE,49,,FABACE,family,Fabaceae,,sp.,,,no,,,,
,AMAL2,9,,AMAL2,species,Rosaceae,Amelanchier,alnifolia,,,,,,forest,17 of 21 associations forested in http://usnvc.org/explore-classification/ 
,CRCR2,9,,CRCR2,species,Rosaceae,Crataegus,crus-galli,,,,,,forest,http://usnvc.org/explore-classification/
,CRMA3,20,,CRMA3,species,Rosaceae,Crataegus,macrosperma,,,,,,forest,http://usnvc.org/explore-classification/
,CRATASPP,72,,CRATASPP,genus,Rosaceae,Crataegus,spp.,,,,,,forest,http://usnvc.org/explore-classification/
,HODI,131,,HODI,species,Rosaceae,Holodiscus,discolor,,,,,,forest,14 of 15 associations forested in http://usnvc.org/explore-classification/ 
,MALUS,1,,MALUS,genus,Rosaceae,Malus,sp.,,,,,,forest,http://usnvc.org/explore-classification/
,OECE,3,,OECE,species,Rosaceae,Oemleria,cerasiformis,,,,,,forest,http://usnvc.org/explore-classification/
,RHSC3,11,,RHSC3,species,Rosaceae,Rhodotypos,scandens,,,,,,forest,USDA plants range distribution
,ROGY,5,,ROGY,species,Rosaceae,Rosa,gymnocarpa,,,,,,forest,http://usnvc.org/explore-classification/
,ROMU,656,,ROMU,species,Rosaceae,Rosa,multiflora,,,,,,forest,http://usnvc.org/explore-classification/
,RUAL,21,,RUAL,species,Rosaceae,Rubus,allegheniensis,,,,,,forest,http://usnvc.org/explore-classification/
,RUHA,16,,RUHA,species,Rosaceae,Rubus,hawaiensis,,,,,,forest,http://usnvc.org/explore-classification/
,RULA,10,,RULA,species,Rosaceae,Rubus,laciniatus,,,,,,forest,USDA plants range distribution
,RULE,14,,RULE,species,Rosaceae,Rubus,leucodermis,,,,,,forest,calflora.org
,RUOC,2,,RUOC,species,Rosaceae,Rubus,occidentalis,,,,,,forest,http://usnvc.org/explore-classification/
,RUPA,2,,RUPA,species,Rosaceae,Rubus,parviflorus,,,,,,forest,http://usnvc.org/explore-classification/
,RUPH,145,,RUPH,species,Rosaceae,Rubus,phoenicolasius,,,,,,forest,5 of 6 associations forested in http://usnvc.org/explore-classification/ 
,RUBUS,26,,RUBUS,genus,Rosaceae,Rubus,sp.,,,,,,forest,http://usnvc.org/explore-classification/
,RUSP,156,,RUSP,species,Rosaceae,Rubus,spectabilis,,,,,,forest,http://usnvc.org/explore-classification/
,SORBU,1,,SORBU,genus,Rosaceae,Sorbus,sp.,,,,,,forest,http://usnvc.org/explore-classification/
,SPDOD,30,,SPDOD,variety,Rosaceae,Spiraea,douglasii,,,,,,forest,http://usnvc.org/explore-classification/
,SPST3,1,,SPST3,species,Rosaceae,Spiraea,stevenii,,,,,,forest,http://usnvc.org/explore-classification/
,AMAR3,38,,AMAR3,species,Rosaceae,Amelanchier,arborea,,,,,,woodland,http://usnvc.org/explore-classification/
,CRCH,45,,CRCH,species,Rosaceae,Crataegus,chrysocarpa,,,,,,woodland,http://usnvc.org/explore-classification/
,CRFL2,74,,CRFL2,species,Rosaceae,Crataegus,flava,,,,,,woodland,http://usnvc.org/explore-classification/
,DAFRF,39,,DAFRF,subspecies,Rosaceae,Dasiphora,fruticosa,,,,,,woodland,http://usnvc.org/explore-classification/
,PHPY4,3,,PHPY4,species,Rosaceae,Photinia,pyrifolia,,,,,,woodland,http://usnvc.org/explore-classification/
,PUTR2,591,,PUTR2,species,Rosaceae,Purshia,tridentata,,,,,,woodland,http://usnvc.org/explore-classification/
,ROAR3,2,,ROAR3,species,Rosaceae,Rosa,arkansana,,,,,,woodland,http://usnvc.org/explore-classification/
,RUAR9,26,,RUAR9,species,Rosaceae,Rubus,armeniacus,,,,,,woodland,http://usnvc.org/explore-classification/
,RUOK,77,,RUOK,species,Rosaceae,Rubus,oklahomus,,,,,,woodland,https://biosurvey.ou.edu/shrub/rubu-okl.htm  
,RUPE3,4,,RUPE3,species,Rosaceae,Rubus,pensilvanicus,,,,,,woodland,http://usnvc.org/explore-classification/
,SPALL,4,,SPALL,variety,Rosaceae,Spiraea,alba,,,,,,woodland,http://usnvc.org/explore-classification/
H7,ABTH,3,,ABTH,species,Malvaceae,Abutilon,theophrasti,,,,,,,
H7,ADRI,63,,ADRI,species,Euphorbiaceae,Adelia,ricinella,,,,,,,
H7,ALWR,53,,ALWR,species,Verbenaceae,Aloysia,wrightii,,,,,,,
H7,ALST11,7,,ALST11,species,Apocynaceae,Alyxia,stellata,,,,,,,
H7,AMAR5,107,,AMAR5,species,Vitaceae,Ampelopsis,arborea,,,,,,,
H7,AMCO2,50,,AMCO2,species,Vitaceae,Ampelopsis,cordata,,,,,,,
H7,ANTH2,6,,ANTH2,species,Acanthaceae,Anisacanthus,thurberi,,,,,,,
H7,ANAL12,1,,ANAL12,species,Monoblastiaceae,Anisomeridium,albisedum,,,,,,,
H7,ANAC4,54,,ANAC4,species,Rubiaceae,Antirhea,acutata,,,,,,,
H7,ARSP2,58,,ARSP2,species,Araliaceae,Aralia,spinosa,,,,,,,
H7,ARCO3,3,,ARCO3,species,Ericaceae,Arctostaphylos,columbiana,,,,,,,
H7,ARPA6,15,,ARPA6,species,Ericaceae,Arctostaphylos,patula,,,,,,,
H7,ARFA,10,,ARFA,species,Euphorbiaceae,Argythamnia,fasciculata,,,,,,,
H7,ARFI2,5,,ARFI2,species,Asteraceae,Artemisia,filifolia,,,,,,,
H7,ARNO4,286,,ARNO4,species,Asteraceae,Artemisia,nova,,,,,,,
H7,ARTR2,27747,,ARTR2,species,Asteraceae,Artemisia,tridentata,,,,,,,
H7,ARTRT2,4,,ARTRT2,subspecies,Asteraceae,Artemisia,tripartita,,,,,,,
H7,ASIN,1,,ASIN,species,Asclepiadaceae,Asclepias,incarnata,,,,,,,
H7,ASAN6,1,,ASAN6,species,Annonaceae,Asimina,angustifolia,,,,,,,
H7,ASIN12,24,,ASIN12,species,Annonaceae,Asimina,incana,,,,,,,
H7,ASPA18,2,,ASPA18,species,Annonaceae,Asimina,parviflora,,,,,,,
H7,ATCA2,2521,,ATCA2,species,Chenopodiaceae,Atriplex,canescens,,,,,,,
H7,ATCO,641,,ATCO,species,Chenopodiaceae,Atriplex,confertifolia,,,,,,,
H7,BABR,2,,BABR,species,Asteraceae,Baccharis,brachyphylla,,,,,,,
H7,BERA3,21,,BERA3,species,Ericaceae,Bejaria,racemosa,,,,,,,
H7,BETH,506,,BETH,species,Berberidaceae,Berberis,thunbergii,,,,,,,
H7,BEDI2,42,,BEDI2,species,Euphorbiaceae,Bernardia,dichotoma,,,,,,,
H7,BICA,146,,BICA,species,Bignoniaceae,Bignonia,capreolata,,,,,,,
H7,BIGNO,2,,BIGNO,genus,Bignoniaceae,Bignonia,sp.,,,,,,,
H7,BOURRSPP,2,,BOURRSPP,genus,Boraginaceae,Bourreria,spp.,,,,,,,
H7,BRAR6,2,,BRAR6,species,Hydrangeaceae,Broussaisia,arguta,,,,,,,
H7,BROV4,390,,BROV4,species,Polygonaceae,Brunnichia,ovata,,,,,,,
H7,BUGL,40,,BUGL,species,Malpighiaceae,Bunchosia,glandulosa,,,,,,,
H7,BUMI6,2,,BUMI6,species,Buxbaumiaceae,Buxbaumia,minakatae,,,,,,,
H7,CABOM,1,,CABOM,genus,Cabombaceae,Cabomba,sp.,,,,,,,
H7,CAAM2,319,,CAAM2,species,Verbenaceae,Callicarpa,americana,,,,,,,
H7,CAFL22,69,,CAFL22,species,Calycanthaceae,Calycanthus,floridus,,,,,,,
H7,CARA2,139,,CARA2,species,Bignoniaceae,Campsis,radicans,,,,,,,
H7,CAWI,1,,CAWI,species,Canellaceae,Canella,winterana,,,,,,,
H7,CAFL2,54,,CAFL2,species,Capparaceae,Capparis,flexuosa,,,,,,,
H7,CAIN5,23,,CAIN5,species,Capparaceae,Capparis,indica,,,,,,,
H7,CAOD3,5,,CAOD3,species,Asteraceae,Carphephorus,odoratissimus,,,,,,,
H7,CAAC3,26,,CAAC3,species,Flacourtiaceae,Casearia,aculeata,,,,,,,
H7,CASY2,39,,CASY2,species,Flacourtiaceae,Casearia,sylvestris,,,,,,,
H7,CAXY,18,,CAXY,species,Celastraceae,Cassine,xylocarpa,,,,,,,
H7,CAPA43,4,,CAPA43,species,Rubiaceae,Catesbaea,parviflora,,,,,,,
H7,CECO,4,,CECO,species,Rhamnaceae,Ceanothus,cordulatus,,,,,,,
H7,CECU,560,,CECU,species,Rhamnaceae,Ceanothus,cuneatus,,,,,,,
H7,CELE2,215,,CELE2,species,Rhamnaceae,Ceanothus,leucodermis,,,,,,,
H7,CEANO,41,,CEANO,genus,Rhamnaceae,Ceanothus,sp.,,,,,,,
H7,CECA,1,,CECA,species,Lamiaceae,Cedronella,canariensis,,,,,,,
H7,CEOR7,1593,,CEOR7,species,Celastraceae,Celastrus,orbiculatus,,,,,,,
H7,CENI,4,,CENI,species,Amaranthaceae,Celosia,nitida,,,,,,,
H7,CEEH,70,,CEEH,species,Ulmaceae,Celtis,ehrenbergiana,,,,,,,
H7,CEOC2,86,,CEOC2,species,Rubiaceae,Cephalanthus,occidentalis,,,,,,,
H7,CEPHA,1,,CEPHA,genus,Rubiaceae,Cephalanthus,sp.,,,,,,,
H7,CHAL8,2,,CHAL8,species,Rubiaceae,Chiococca,alba,,,,,,,
H7,CHSI,2,,CHSI,species,Asteraceae,Chromolaena,sinuata,,,,,,,
H7,CHVI8,343,,CHVI8,species,Asteraceae,Chrysothamnus,viscidiflorus,,,,,,,
H7,CIBOT,15,,CIBOT,genus,Dicksoniaceae,Cibotium,sp.,,,,,,,
H7,CITR2,10,,CITR2,species,Vitaceae,Cissus,trifoliata,,,,,,,
H7,CLMO5,4,,CLMO5,species,Campanulaceae,Clermontia,montis-loa,,,,,,,
H7,CLAC3,6,,CLAC3,species,Clethraceae,Clethra,acuminata,,,,,,,
H7,CLETH,7,,CLETH,genus,Clethraceae,Clethra,sp.,,,,,,,
H7,COKR,89,,COKR,species,Polygonaceae,Coccoloba,krugii,,,,,,,
H7,COMI,223,,COMI,species,Polygonaceae,Coccoloba,microstachya,,,,,,,
H7,COCCO,21,,COCCO,genus,Polygonaceae,Coccoloba,sp.,,,,,,,
H7,COCA,79,,COCA,species,Menispermaceae,Cocculus,carolinus,,,,,,,
H7,COAR3,29,,COAR3,species,Rhamnaceae,Colubrina,arborescens,,,,,,,
H7,COEL2,25,,COEL2,species,Rhamnaceae,Colubrina,elliptica,,,,,,,
H7,COLUB,1,,COLUB,genus,Rhamnaceae,Colubrina,sp.,,,,,,,
